Tamanho Hairpin sem Loop,Entropia_HP_S_Loop,HP_S_Loop_state_change,GC_Inicial_Hairpin
0.2381,0.9056,0.2812,0
0.2381,0.9056,0.2812,0.25
0.2381,0.9056,0.2812,0.1667
0.2381,0.9056,0.2188,0.4167
0.2381,0.9056,0.2812,0.3333
0.2381,0.9056,0.3438,0.3333
0.2381,0.9056,0.3438,0.0833
0.2381,0.9056,0.3438,0.25
0.2381,0.9056,0.3438,0.1667
0.2381,0.7718,0.0938,0.5833
0.2381,0.7718,0.1562,0.5833
0.2381,0.7718,0.2188,0.4167
0.2381,0.7718,0.1562,0.3333
0.2381,0.7718,0.2188,0.1667
0.2381,0.7718,0.2188,0.5
0.2381,0.7718,0.1562,0.4167
0.2381,0.7718,0.1562,0.5
0.2381,0.7718,0.2188,0.3333
0.2381,0.7718,0.1562,0.25
0.2381,0.7718,0.1562,0
0.2381,0.7718,0.2188,0.0833
0.2381,0.7718,0.1562,0.1667
0.2381,0.7718,0.1562,0.0833
0.2381,0.7718,0.2188,0.25
0.2381,0.5,0.0312,0.6667
0.2381,0.5,0.0938,0.6667
0.2381,1,0.2188,0.3333
0.2381,0.9772,0.2812,0.4167
0.2381,0.9772,0.3438,0.3333
0.2381,0.9772,0.2188,0.4167
0.2381,0.9056,0.2812,0.5
0.2381,0.9056,0.3438,0.4167
0.2381,0.9056,0.3438,0
0.2381,0.9056,0.4062,0.0833
0.2381,0.9056,0.4062,0.25
0.2381,0.9056,0.4062,0.1667
0.2381,0.9056,0.2188,0.5
0.2381,0.9056,0.4062,0
0.2381,0.9056,0.4062,0.3333
0.2381,0.9056,0.4062,0.4167
0.2381,0.7718,0.2812,0.5833
0.2381,0.7718,0.2188,0.5833
0.2381,0.7718,0.2812,0.4167
0.2381,0.7718,0.3438,0.0833
0.2381,0.7718,0.2812,0.0833
0.2381,0.7718,0.3438,0.25
0.2381,0.7718,0.2812,0.25
0.2381,0.7718,0.2812,0.5
0.2381,0.7718,0.2812,0.1667
0.2381,0.7718,0.2188,0
0.2381,0.7718,0.2812,0.3333
0.2381,0.7718,0.2812,0
0.2381,0.7718,0.3438,0.5
0.2381,0.7718,0.3438,0.4167
0.2381,0.7718,0.3438,0.3333
0.2381,0.7718,0.3438,0.1667
0.2381,0.5,0.2188,0.6667
0.2381,0.5,0.1562,0.6667
0.2381,0.9056,0.3438,0.5
0.2381,0.7718,0.4062,0.5833
0.2381,0.7718,0.4062,0.0833
0.2381,0.7718,0.3438,0.5833
0.2381,0.7718,0.3438,0
0.2381,0.7718,0.4062,0.5
0.2381,0.7718,0.4062,0.3333
0.2381,0.7718,0.4062,0
0.2381,0.7718,0.4062,0.1667
0.2381,0.7718,0.4062,0.25
0.2381,0.7718,0.4062,0.4167
0.2381,0.5,0.3438,0.6667
0.2381,0.5,0.2812,0.6667
0.2381,0.5,0.4062,0.6667
0.2381,0.5,0.0312,0
0.2381,0.5,0.0938,0
0.2381,1,0.3438,0.25
0.2381,1,0.2812,0.3333
0.2381,1,0.4062,0.1667
0.2381,1,0.4062,0.25
0.2381,1,0.3438,0.3333
0.2381,0.9772,0.3438,0.4167
0.2381,0.9772,0.4062,0.4167
0.2381,0.9772,0.4062,0.3333
0.2381,0.9056,0.4062,0.5
0.2381,0.5,0.1562,0
0.2381,0.5,0.2188,0
0.2381,1,0.4062,0.3333
0.2381,0.5,0.2812,0
0.2381,0.5,0.3438,0
0.2381,0.5,0.4062,0
0.2857,0.5,0,0
0.2857,0.7517,0.0312,0.0833
0.2857,0.7517,0.0312,0
0.2857,0.7517,0.0938,0
0.2857,0.8821,0.0312,0.1667
0.2857,0.8821,0.0312,0
0.2857,0.8821,0.2188,0
0.2857,0.8821,0.1562,0.0833
0.2857,0.8821,0.0938,0
0.2857,0.8821,0.1562,0
0.2857,0.8821,0.0938,0.0833
0.2857,0.9591,0.0312,0.25
0.2857,0.9591,0.0312,0
0.2857,0.9591,0.2188,0
0.2857,0.9591,0.2812,0
0.2857,0.9591,0.1562,0
0.2857,0.9591,0.0938,0
0.2857,0.9591,0.3438,0
0.2857,0.9591,0.2812,0.0833
0.2857,0.9591,0.1562,0.1667
0.2857,0.9591,0.2188,0.0833
0.2857,0.9591,0.1562,0.0833
0.2857,0.9591,0.0938,0.1667
0.2857,0.9591,0.0938,0.0833
0.2857,0.9956,0.0312,0.3333
0.2857,0.9956,0.0312,0
0.2857,0.9956,0.1562,0.1667
0.2857,0.9956,0.2188,0
0.2857,0.9956,0.2188,0.0833
0.2857,0.9956,0.1562,0
0.2857,0.9956,0.2188,0.1667
0.2857,0.9956,0.0938,0.25
0.2857,0.9956,0.3438,0
0.2857,0.9956,0.4062,0.0833
0.2857,0.9956,0.2812,0.0833
0.2857,0.9956,0.3438,0.0833
0.2857,0.9956,0.2812,0
0.2857,0.9956,0.2812,0.1667
0.2857,0.9956,0.4062,0
0.2857,0.9956,0.1562,0.0833
0.2857,0.9956,0.0938,0.1667
0.2857,0.9956,0.4688,0
0.2857,0.9956,0.1562,0.25
0.2857,0.9956,0.0938,0.0833
0.2857,0.9956,0.0938,0
0.2857,0.9956,0.0312,0.4167
0.2857,0.9956,0.2188,0.25
0.2857,0.9956,0.4062,0.1667
0.2857,0.9956,0.3438,0.1667
0.2857,0.9956,0.1562,0.3333
0.2857,0.9956,0.2812,0.25
0.2857,0.9956,0.0938,0.3333
0.2857,0.9956,0.4688,0.0833
0.2857,0.9591,0.0312,0.5
0.2857,0.9591,0.3438,0.0833
0.2857,0.9591,0.2188,0.1667
0.2857,0.9591,0.1562,0.25
0.2857,0.9591,0.2812,0.3333
0.2857,0.9591,0.0938,0.25
0.2857,0.9591,0.2812,0.1667
0.2857,0.9591,0.3438,0.1667
0.2857,0.9591,0.2188,0.25
0.2857,0.9591,0.2188,0.3333
0.2857,0.9591,0.2812,0.25
0.2857,0.9591,0.0938,0.3333
0.2857,0.9591,0.1562,0.3333
0.2857,0.9591,0.0938,0.4167
0.2857,0.9591,0.3438,0.25
0.2857,0.9591,0.1562,0.4167
0.2857,0.8821,0.0312,0.5833
0.2857,0.8821,0.2188,0.0833
0.2857,0.8821,0.1562,0.4167
0.2857,0.8821,0.2188,0.1667
0.2857,0.8821,0.2188,0.3333
0.2857,0.8821,0.0938,0.5
0.2857,0.8821,0.2188,0.25
0.2857,0.8821,0.0938,0.4167
0.2857,0.8821,0.0938,0.1667
0.2857,0.8821,0.1562,0.5
0.2857,0.8821,0.0938,0.3333
0.2857,0.8821,0.2188,0.4167
0.2857,0.8821,0.1562,0.25
0.2857,0.8821,0.0938,0.25
0.2857,0.8821,0.1562,0.1667
0.2857,0.8821,0.1562,0.3333
0.2857,0.7517,0.0312,0.6667
0.2857,0.7517,0.0938,0.5833
0.2857,0.7517,0.0938,0.4167
0.2857,0.7517,0.0938,0.0833
0.2857,0.7517,0.0938,0.3333
0.2857,0.7517,0.0938,0.5
0.2857,0.7517,0.0938,0.1667
0.2857,0.7517,0.0938,0.25
0.2857,0.5,0,0.75
0.2857,0.9956,0.0938,0.4167
0.2857,0.9956,0.1562,0.4167
0.2857,0.9956,0.2812,0.3333
0.2857,0.9956,0.2188,0.3333
0.2857,0.9956,0.4688,0.1667
0.2857,0.9956,0.3438,0.25
0.2857,0.9956,0.4062,0.25
0.2857,0.9591,0.0938,0.5
0.2857,0.9591,0.1562,0.5
0.2857,0.9591,0.4062,0.0833
0.2857,0.9591,0.4062,0
0.2857,0.9591,0.4062,0.25
0.2857,0.9591,0.4062,0.1667
0.2857,0.9591,0.4688,0.0833
0.2857,0.9591,0.3438,0.3333
0.2857,0.9591,0.2188,0.4167
0.2857,0.9591,0.2812,0.4167
0.2857,0.9591,0.4062,0.3333
0.2857,0.9591,0.4688,0.25
0.2857,0.8821,0.0938,0.5833
0.2857,0.8821,0.1562,0.5833
0.2857,0.8821,0.2812,0
0.2857,0.8821,0.2812,0.4167
0.2857,0.8821,0.2812,0.25
0.2857,0.8821,0.2812,0.0833
0.2857,0.8821,0.3438,0.0833
0.2857,0.8821,0.2812,0.3333
0.2857,0.8821,0.3438,0.1667
0.2857,0.8821,0.3438,0.25
0.2857,0.8821,0.2812,0.1667
0.2857,0.8821,0.3438,0.3333
0.2857,0.8821,0.2812,0.5
0.2857,0.8821,0.2188,0.5
0.2857,0.8821,0.3438,0.4167
0.2857,0.7517,0.0938,0.6667
0.2857,0.7517,0.1562,0.6667
0.2857,0.7517,0.1562,0
0.2857,0.7517,0.1562,0.5
0.2857,0.7517,0.2188,0.1667
0.2857,0.7517,0.1562,0.3333
0.2857,0.7517,0.1562,0.4167
0.2857,0.7517,0.2188,0.3333
0.2857,0.7517,0.2188,0.25
0.2857,0.7517,0.1562,0.25
0.2857,0.7517,0.2188,0.5833
0.2857,0.7517,0.2188,0.5
0.2857,0.7517,0.2188,0.4167
0.2857,0.7517,0.1562,0.1667
0.2857,0.7517,0.1562,0.5833
0.2857,0.7517,0.1562,0.0833
0.2857,0.7517,0.2188,0.0833
0.2857,0.5,0.0312,0.75
0.2857,0.5,0.0938,0.75
0.2857,0.9956,0.2812,0.4167
0.2857,0.9956,0.2188,0.4167
0.2857,0.9956,0.3438,0.3333
0.2857,0.9591,0.2812,0.5
0.2857,0.9591,0.4688,0
0.2857,0.9591,0.2188,0.5
0.2857,0.9591,0.4688,0.1667
0.2857,0.9591,0.3438,0.4167
0.2857,0.9591,0.4688,0.3333
0.2857,0.9591,0.4062,0.4167
0.2857,0.8821,0.2812,0.5833
0.2857,0.8821,0.4062,0.5
0.2857,0.8821,0.4062,0.4167
0.2857,0.8821,0.4062,0.25
0.2857,0.8821,0.4062,0.3333
0.2857,0.8821,0.3438,0
0.2857,0.8821,0.4062,0.1667
0.2857,0.8821,0.4062,0.0833
0.2857,0.8821,0.2188,0.5833
0.2857,0.8821,0.4688,0.25
0.2857,0.8821,0.4062,0
0.2857,0.8821,0.3438,0.5
0.2857,0.8821,0.4688,0.0833
0.2857,0.8821,0.4688,0.4167
0.2857,0.7517,0.2812,0.6667
0.2857,0.7517,0.2812,0.4167
0.2857,0.7517,0.2812,0.1667
0.2857,0.7517,0.2812,0.3333
0.2857,0.7517,0.2812,0.25
0.2857,0.7517,0.3438,0.5833
0.2857,0.7517,0.2812,0.5
0.2857,0.7517,0.2812,0
0.2857,0.7517,0.2188,0
0.2857,0.7517,0.2188,0.6667
0.2857,0.7517,0.3438,0.3333
0.2857,0.7517,0.2812,0.0833
0.2857,0.7517,0.3438,0.25
0.2857,0.7517,0.3438,0.0833
0.2857,0.7517,0.2812,0.5833
0.2857,0.7517,0.3438,0.5
0.2857,0.7517,0.3438,0.1667
0.2857,0.7517,0.3438,0.4167
0.2857,0.5,0.2188,0.75
0.2857,0.5,0.1562,0.75
0.2857,0.9591,0.3438,0.5
0.2857,0.8821,0.4062,0.5833
